id	name	species	Species	gene_id	vertebrate_lineage	clade	major_subclade	duplicate_id	duplicate_type	duplicate_numeric_id	Superorder	Species_order	Family	Genus	protein_accession	ref	reference_id
XM_011234954	IFNL-A-Mammal	Ailuropoda melanoleuca	Ailuropoda melanoleuca	IFNL	Mammal	A					Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011233256.1	xL	
XM_028165945	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni	Balaenoptera acutorostrata scammoni	IFNL	Mammal	A					Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera			
XM_007180047	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni	Balaenoptera acutorostrata scammoni	IFNL	Mammal	A					Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera			
XM_007180046	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni	Balaenoptera acutorostrata scammoni	IFNL	Mammal	A					Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera			
XM_005219127	IFNL-A-Mammal	Bos taurus	Bos taurus	IFNL	Mammal	A					Laurasiatheria	Unclassified	Bovidae	Bos			
XM_005219126	IFNL-A-Mammal	Bos taurus	Bos taurus	IFNL	Mammal	A					Laurasiatheria	Unclassified	Bovidae	Bos			
XM_025268277	IFNL-A-Mammal	Bubalus bubalis	Bubalus bubalis	IFNL	Mammal	A					Laurasiatheria	Unclassified	Bovidae	Bubalus	XP_025124062.1		
XM_008987976	IFNL-A-Mammal	Callithrix jacchus	Callithrix jacchus	IFNL	Mammal	A					Euarchontoglires	Primates	Cebidae	Callithrix	XP_008986224.1		
XM_020156960	IFNL-A-Mammal	Castor canadensis	Castor canadensis	IFNL	Mammal	A					Euarchontoglires	Rodentia	Castoridae	Castor	XP_020012549.1		
XM_020156960 	IFNL-A-Mammal	Castor canadensis	Castor canadensis	IFNL	Mammal	A					Euarchontoglires	Rodentia	Castoridae	Castor			
XM_017503065	IFNL-A-Mammal	Cebus capucinus	Cebus capucinus	IFNL	Mammal	A					Euarchontoglires	Primates	Cebidae	Cebus			
XM_017503067	IFNL-A-Mammal	Cebus capucinus imitator	Cebus capucinus imitator	IFNL	Mammal	A					Euarchontoglires	Primates	Cebidae	Cebus			-
XM_013522287	IFNL-A-Mammal	Chinchilla lanigera	Chinchilla lanigera	IFNL	Mammal	A					Euarchontoglires	Rodentia	Chinchillidae	Chinchilla			
XM_007996757	IFNL-A-Mammal	Chlorocebus sabaeus	Chlorocebus sabaeus	IFNL	Mammal	A					Euarchontoglires	Primates	Cercopithecidae	Chlorocebus			-
XM_006878034	IFNL-A-Mammal	Chrysochloris asiatica	Chrysochloris asiatica	IFNL	Mammal	A					Afrotheria	Unclassified	Chrysochloridae	Chrysochloris			-
XM_024577451	IFNL-A-Mammal	Desmodus rotundus	Desmodus rotundus	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus			-
XM_004710487	IFNL-A-Mammal	Echinops telfairi	Echinops telfairi	IFNL	Mammal	A					Afrotheria	Unclassified	Tenrecidae	Echinops			
XM_022525015	IFNL-A-Mammal	Enhydra lutris kenyoni	Enhydra lutris kenyoni	IFNL	Mammal	A					Laurasiatheria	Carnivora	Mustelidae	Enhydra			-
XM_008140039	IFNL-A-Mammal	Eptesicus fuscus	Eptesicus fuscus	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus			-
XM_007524025	IFNL-A-Mammal	Erinaceus europaeus	Erinaceus europaeus	IFNL	Mammal	A					Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	XP_007524087.1 		
XM_007524024	IFNL-A-Mammal	Erinaceus europaeus	Erinaceus europaeus	IFNL	Mammal	A					Laurasiatheria	Insectivora	Erinaceidae	Erinaceus			-
XM_019014912	IFNL-A-Mammal	Gorilla gorilla	Gorilla gorilla	IFNL	Mammal	A					Euarchontoglires	Primates	Hominidae	Gorilla			
XM_019015012	IFNL-A-Mammal	Gorilla gorilla	Gorilla gorilla	IFNL	Mammal	A					Euarchontoglires	Primates	Hominidae	Gorilla			-
XM_021239619	IFNL-A-Mammal	Heterocephalus glaber	Heterocephalus glaber	IFNL	Mammal	A					Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	XP_021095278.1		
XM_021239678	IFNL-A-Mammal	Heterocephalus glaber	Heterocephalus glaber	IFNL	Mammal	A					Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus			
XM_021239619	IFNL-A-Mammal	Heterocephalus glaber	Heterocephalus glaber	IFNL	Mammal	A					Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus			
XM_019666268	IFNL-A-Mammal	Hipposideros armiger	Hipposideros armiger	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros			
XM_019666267	IFNL-A-Mammal	Hipposideros armiger	Hipposideros armiger	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros			-
XM_005336481	IFNL-A-Mammal	Ictidomys tridecemlineatus	Ictidomys tridecemlineatus	IFNL	Mammal	A					Euarchontoglires	Rodentia	Sciuridae	Ictidomys			
XM_010600326	IFNL-A-Mammal	Loxodonta africana	Loxodonta africana	IFNL	Mammal	A					Afrotheria	Proboscidea	Elephantidae	Loxodonta	XP_010598628.1 	xA	
XM_010600327	IFNL-A-Mammal	Loxodonta africana	Loxodonta africana	IFNL	Mammal	A					Afrotheria	Proboscidea	Elephantidae	Loxodonta			
XM_010600391	IFNL-A-Mammal	Loxodonta africana	Loxodonta africana	IFNL	Mammal	A					Afrotheria	Proboscidea	Elephantidae	Loxodonta			-
XM_015123824	IFNL-A-Mammal	Macaca mulatta	Macaca mulatta	IFNL	Mammal	A					Euarchontoglires	Primates	Cercopithecidae	Macaca	XP_014979310.2		
XM_028839087	IFNL-A-Mammal	Macaca mulatta	Macaca mulatta	IFNL	Mammal	A					Euarchontoglires	Primates	Cercopithecidae	Macaca			
XM_016209132	IFNL-A-Mammal	Miniopterus natalensis	Miniopterus natalensis	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus			-
XM_014541702	IFNL-A-Mammal	Myotis brandtii	Myotis brandtii	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Vespertilionidae	Myotis			-
XM_023760558	IFNL-A-Mammal	Myotis lucifugus	Myotis lucifugus	IFNL	Mammal	A					Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	XP_023616326.1		
XM_021700959	IFNL-A-Mammal	Neomonachus schauinslandi	Neomonachus schauinslandi	IFNL	Mammal	A					Laurasiatheria	Carnivora	Phocidae	Monachus			
XM_021700961	IFNL-A-Mammal	Neomonachus schauinslandi	Neomonachus schauinslandi	IFNL	Mammal	A					Laurasiatheria	Carnivora	Phocidae	Monachus			-
XM_012496610	IFNL-A-Mammal	Nomascus leucogenys	Nomascus leucogenys	IFNL	Mammal	A					Euarchontoglires	Primates	Hylobatidae	Nomascus			
XM_004595181	IFNL-A-Mammal	Ochotona princeps	Ochotona princeps	IFNL	Mammal	A					Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona			
XM_004636883	IFNL-A-Mammal	Octodon degus	Octodon degus	IFNL	Mammal	A					Euarchontoglires	Rodentia	Octodontidae	Octodon	XP_004636940.1		
XM_004636883 	IFNL-A-Mammal	Octodon degus	Octodon degus	IFNL	Mammal	A					Euarchontoglires	Rodentia	Octodontidae	Octodon			
